model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group
RandomForest,10,0.6928571428571428,0.10251928638862373,0.42862318840579716,0.09642447334064738,0.4401362361867062,0.09618192648670838,10,inhibitory
ExtraTrees,3,0.6642857142857143,0.08630747123996124,0.42797101449275365,0.06820671179987763,0.4338659689788388,0.06561637238816301,10,inhibitory
ExtraTrees,2,0.6785714285714286,0.06388765649999399,0.42065217391304344,0.042243952996817324,0.41765829249954634,0.02396876349746284,10,inhibitory
ExtraTrees,5,0.65,0.09689042833036098,0.38297101449275367,0.06079619456579498,0.3917748917748918,0.036879204312526344,10,inhibitory
LogisticRegression,20,0.9094017094017094,0.0510329499204323,0.9095454545454545,0.0680362081529733,0.8608144077514469,0.0788273174022676,19,inhibitory
LogisticRegression,40,0.90997150997151,0.0893261216741444,0.8786363636363635,0.14392376310664218,0.8543607168025773,0.1371265547008352,19,inhibitory
LogisticRegression,5,0.8572649572649572,0.07478510377513628,0.8622727272727275,0.09826595721361207,0.7947024052379009,0.09458606996924582,19,inhibitory
LogisticRegression,3,0.8341880341880342,0.059178391019192346,0.8486363636363639,0.09165151389911681,0.7654234394189465,0.07417138552395386,19,inhibitory
RandomForest,10,0.8940170940170941,0.04908725256086675,0.8390909090909092,0.06117648227440896,0.8211334789241767,0.06556495877691003,19,inhibitory
RandomForest,40,0.8937321937321936,0.02921582619554251,0.8390909090909092,0.07387447472929284,0.8157288835195813,0.05564127958114313,19,inhibitory
LogisticRegression,10,0.8720797720797719,0.06892231944593484,0.8254545454545454,0.10835356878187535,0.7945747748186773,0.10489788791361815,19,inhibitory
RandomForest,20,0.9008547008547009,0.040014039629924066,0.8231818181818182,0.0914574371492956,0.8166666666666667,0.07976723507420337,19,inhibitory
RandomForest,3,0.8712250712250713,0.037845654559614986,0.805,0.10406410929314298,0.77331822542136,0.08321704358716471,19,inhibitory
LogisticRegression,2,0.7877492877492877,0.04552168098549096,0.800909090909091,0.11532920899009494,0.7072356099185367,0.07579032213836094,19,inhibitory
ExtraTrees,20,0.8792022792022791,0.06382910967768868,0.7990909090909092,0.13999409668781757,0.7828836538138864,0.11354479554934038,19,inhibitory
ExtraTrees,10,0.8638176638176638,0.06058804966393829,0.7950000000000002,0.15667252787816865,0.7582725054969746,0.12798580649596555,19,inhibitory
ExtraTrees,3,0.8715099715099714,0.029143502797822057,0.7945454545454546,0.1346605772837031,0.7622986181327941,0.08803631852625363,19,inhibitory
RandomForest,2,0.8564102564102564,0.026257236256396487,0.765,0.11642576466438156,0.7387794308825655,0.07791810446693348,19,inhibitory
RandomForest,1,0.8111111111111111,0.08402191950389405,0.7631818181818183,0.10438129403995018,0.7197346527550725,0.10197937174822315,19,inhibitory
RandomForest,5,0.8720797720797722,0.06415256043321971,0.7586363636363636,0.10406410929314297,0.7620314950749733,0.1070455895761033,19,inhibitory
ExtraTrees,2,0.8264957264957264,0.08196220235717505,0.7518181818181819,0.17925119730572847,0.7073816605681758,0.1357290362428228,19,inhibitory
ExtraTrees,40,0.8256410256410256,0.06963816212682813,0.7468181818181818,0.11570481107449736,0.7169487231115138,0.10033146185336016,19,inhibitory
LogisticRegression,1,0.7723646723646724,0.055525596422016335,0.7454545454545455,0.1167836878680671,0.6679761674763628,0.08416062279862688,19,inhibitory
ExtraTrees,5,0.8267806267806268,0.08269276780130688,0.715909090909091,0.16361110916231303,0.6951790475260845,0.1413549697854897,19,inhibitory
ExtraTrees,1,0.7512820512820513,0.08092171199004872,0.6445454545454545,0.1400899946875945,0.6149073794422633,0.11881661770662919,19,inhibitory
ExtraTrees,1,0.6884615384615385,0.10630980739296349,0.6952380952380952,0.10340024166956412,0.6823701298701299,0.1133798837318287,2,excitatory
LogisticRegression,3,0.6897435897435897,0.1052219719419651,0.6880952380952381,0.10631958838936242,0.6857326007326008,0.10613900603337277,2,excitatory
LogisticRegression,1,0.6705128205128206,0.06532173950183075,0.6666666666666667,0.06432979088622043,0.6492895339954163,0.09153815814579282,2,excitatory
ExtraTrees,5,0.6564102564102564,0.12414070191702772,0.6595238095238095,0.12339674780809463,0.6539560439560439,0.1236486806628181,2,excitatory
ExtraTrees,2,0.6423076923076924,0.12138256798507309,0.65,0.11283805343878844,0.6297803503685857,0.13887960146982942,2,excitatory
RandomForest,1,0.6397435897435898,0.08193100158292543,0.6452380952380953,0.07802842670559018,0.6286294261294261,0.09229844974595001,2,excitatory
RandomForest,10,0.641025641025641,0.0760635742266222,0.6404761904761904,0.07158712561129955,0.6291591741591741,0.07423832260158615,2,excitatory
RandomForest,20,0.6397435897435898,0.044485516853583235,0.6380952380952382,0.044923719676459986,0.6165439462498286,0.06866416510346239,2,excitatory
RandomForest,40,0.6230769230769231,0.07050116453778214,0.6238095238095238,0.07046975517594638,0.6126623376623377,0.07231037746983246,2,excitatory
RandomForest,5,0.6243589743589744,0.060623540602753274,0.6214285714285714,0.058028845747399714,0.6024746821805645,0.07616777598209419,2,excitatory
LogisticRegression,5,0.6243589743589744,0.07773080200627755,0.6214285714285713,0.07581753965757455,0.6202430902430902,0.07683411900933977,2,excitatory
ExtraTrees,40,0.6076923076923076,0.07844645405527362,0.6095238095238095,0.0791107034563626,0.5985930735930736,0.07878026698400258,2,excitatory
ExtraTrees,3,0.5948717948717948,0.1196092696378523,0.6023809523809524,0.11308897225750397,0.5847619047619047,0.1304675005795811,2,excitatory
ExtraTrees,20,0.5923076923076923,0.09607689228305227,0.5928571428571429,0.09914601339836673,0.5811471861471862,0.09806996957939443,2,excitatory
LogisticRegression,40,0.5782051282051281,0.0769658001015571,0.5785714285714285,0.08199607313201221,0.5608018288900641,0.09665984048897297,2,excitatory
ExtraTrees,10,0.5782051282051281,0.034496471915573645,0.5761904761904761,0.034992710611188284,0.5696858696858695,0.03440726556199522,2,excitatory
LogisticRegression,2,0.5641025641025641,0.1202670707647033,0.5642857142857143,0.11799534946060829,0.5566233766233766,0.12084620091890165,2,excitatory
RandomForest,3,0.5615384615384615,0.08284868934053083,0.5642857142857143,0.08604433809329833,0.5481227106227106,0.09452709914336938,2,excitatory
RandomForest,2,0.5461538461538462,0.06153846153846154,0.5523809523809524,0.06236095644623236,0.5284615384615384,0.0749916168884916,2,excitatory
LogisticRegression,20,0.5307692307692309,0.07050116453778216,0.5261904761904763,0.06917066212539977,0.5059951812892989,0.07825971597616108,2,excitatory
LogisticRegression,10,0.5012820512820513,0.07026763900535754,0.4976190476190476,0.06957923426763077,0.48925213675213675,0.06259748026387267,2,excitatory
LogisticRegression,1,0.9400000000000001,0.07999999999999999,0.9466666666666667,0.06863753427324669,0.9397979797979797,0.08010196542413744,20,excitatory
RandomForest,1,0.9400000000000001,0.07999999999999999,0.9466666666666667,0.06863753427324669,0.9397979797979797,0.08010196542413744,20,excitatory
RandomForest,3,0.9400000000000001,0.07999999999999999,0.9466666666666667,0.06863753427324669,0.9397979797979797,0.08010196542413744,20,excitatory
RandomForest,5,0.9400000000000001,0.07999999999999999,0.9466666666666667,0.06863753427324669,0.9397979797979797,0.08010196542413744,20,excitatory
ExtraTrees,1,0.9199999999999999,0.0748331477354788,0.9266666666666665,0.06463573143221774,0.9195959595959596,0.07494268802981223,20,excitatory
LogisticRegression,3,0.9199999999999999,0.0979795897113271,0.9266666666666665,0.09043106644167025,0.9183333333333333,0.10005554013202421,20,excitatory
