model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
RandomForest,1,0.9333333333333333,0.08164965809277258,0.9333333333333332,0.08164965809277264,0.9314285714285713,0.08398250546685185,20,excitatory,1
LogisticRegression,2,0.9333333333333333,0.08164965809277258,0.9333333333333332,0.08164965809277264,0.9314285714285713,0.08398250546685185,20,excitatory,1
RandomForest,2,0.9333333333333333,0.08164965809277258,0.9333333333333332,0.08164965809277264,0.9314285714285713,0.08398250546685185,20,excitatory,1
LogisticRegression,5,0.9333333333333333,0.08164965809277258,0.9333333333333332,0.08164965809277264,0.9314285714285713,0.08398250546685185,20,excitatory,1
RandomForest,5,0.9333333333333333,0.08164965809277258,0.9333333333333332,0.08164965809277264,0.9314285714285713,0.08398250546685185,20,excitatory,1
ExtraTrees,10,0.9333333333333333,0.08164965809277258,0.9333333333333332,0.08164965809277264,0.9314285714285713,0.08398250546685185,20,excitatory,1
RandomForest,10,0.9047619047619048,0.07824607964359515,0.9083333333333332,0.07637626158259736,0.9028571428571428,0.08000000000000003,20,excitatory,1
RandomForest,20,0.9,0.13333333333333333,0.9,0.13333333333333336,0.8907142857142857,0.14852334386711535,20,excitatory,1
LogisticRegression,10,0.8761904761904763,0.11004019055515564,0.875,0.11180339887498952,0.8730952380952381,0.11253520487207953,20,excitatory,1
ExtraTrees,40,0.8761904761904763,0.11004019055515564,0.875,0.11180339887498952,0.8730952380952381,0.11253520487207953,20,excitatory,1
ExtraTrees,1,0.8714285714285716,0.0649437223665993,0.8749999999999998,0.0645497224367903,0.8685714285714285,0.06663945022680347,20,excitatory,1
ExtraTrees,20,0.8761904761904761,0.0628138378965377,0.8666666666666666,0.0666666666666667,0.8692063492063491,0.06578096456091133,20,excitatory,1
RandomForest,40,0.8428571428571429,0.13932132226978852,0.8416666666666666,0.14043582955293932,0.8323809523809522,0.15139450050969655,20,excitatory,1
LogisticRegression,20,0.819047619047619,0.20898198340468277,0.825,0.19790570145063197,0.8147619047619047,0.21330144319468222,20,excitatory,1
LogisticRegression,40,0.8142857142857143,0.17327052760628814,0.8166666666666667,0.16996731711975951,0.8049999999999999,0.18086526725150737,20,excitatory,1
LogisticRegression,40,0.7592885375494072,0.09200575852083177,0.7368253968253968,0.1271879316886872,0.7068658289347944,0.12747838935004208,22,__NA__,1
ExtraTrees,40,0.6972332015810278,0.0721427793050164,0.7346031746031746,0.07801001931889613,0.6335552685765815,0.0654369983605792,22,__NA__,1
LogisticRegression,20,0.6964426877470355,0.07186288175407755,0.7279365079365079,0.08410961186309293,0.6350558083891418,0.0524539964189661,22,__NA__,1
LogisticRegression,10,0.6790513833992093,0.07371938867523253,0.7206349206349205,0.12592814901776953,0.6179779855142173,0.08989596105138617,22,__NA__,1
ExtraTrees,10,0.6881422924901186,0.07063275390252358,0.7206349206349205,0.09594972228385658,0.6141842237204556,0.08583341337822721,22,__NA__,1
